,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2020-11-02,10228786,1050887316,103.15,103.45,102.3,103.4,0.4,8143
1,2020-11-03,4444060,464333020,104.2,104.85,104.05,104.6,1.2,4393
2,2020-11-04,5081769,536537006,105.0,106.2,104.7,106.15,1.55,4542
3,2020-11-05,4331427,459148329,106.2,106.4,105.55,106.05,-0.1,3321
4,2020-11-06,6315479,674047631,106.35,107.05,106.3,106.7,0.65,7927
5,2020-11-09,11429760,1234448730,107.75,108.4,107.25,108.1,1.4,7084
6,2020-11-10,4451469,478029991,108.0,108.0,106.8,107.1,-1.0,4098
7,2020-11-11,8631279,935036530,107.1,108.75,107.1,108.75,1.65,5765
8,2020-11-12,3870766,421927706,109.0,109.4,108.7,108.8,0.05,3172
9,2020-11-13,3829664,417113986,108.6,109.3,108.45,109.25,0.45,3049
10,2020-11-16,9421082,1052631798,110.4,112.8,110.4,112.8,3.55,8277
11,2020-11-17,8297028,945842517,115.0,115.75,113.4,113.6,0.8,6274
12,2020-11-18,19747534,2254742494,113.6,114.95,113.15,114.35,0.75,18354
13,2020-11-19,4505205,514299847,114.45,114.55,113.8,114.15,-0.2,3786
14,2020-11-20,4800675,546485967,114.15,114.15,113.35,114.0,-0.15,3751
15,2020-11-23,5800114,668881804,114.65,115.85,114.65,115.45,1.45,4322
16,2020-11-24,6181698,712360322,115.95,115.95,114.75,114.9,-0.55,4988
17,2020-11-25,4184128,479175012,115.7,115.7,113.9,113.95,-0.95,5005
18,2020-11-26,2561228,293607672,114.05,115.0,114.05,114.85,0.9,3146
19,2020-11-27,5329935,609955495,114.5,114.85,114.1,114.65,-0.2,3372
20,2020-11-30,9569902,1092174851,114.8,115.15,113.3,113.3,-1.35,7844
21,2020-12-01,5097362,579908169,113.8,114.3,113.35,114.3,1.0,3856
22,2020-12-02,6132300,706416245,115.0,115.55,114.5,115.4,1.1,3958
23,2020-12-03,5977208,690191929,115.45,116.1,115.0,115.4,0.0,3650
24,2020-12-04,12351997,1441028838,115.9,117.45,115.9,117.3,1.9,5651
25,2020-12-07,6859570,809975765,118.5,118.75,117.5,118.4,1.1,6523
26,2020-12-08,6401980,760790348,118.45,120.05,117.95,120.05,1.65,5575
27,2020-12-09,6302763,755414967,120.0,120.2,119.5,120.05,0.0,5187
28,2020-12-10,8417879,996846199,119.15,119.15,118.05,118.6,-1.45,9233
29,2020-12-11,4798609,567107835,118.8,119.15,117.25,118.75,0.15,5384
30,2020-12-14,2479991,293305597,118.65,118.65,118.0,118.25,-0.5,3439
31,2020-12-15,9664754,1132041750,117.95,118.0,116.75,117.05,-1.2,9128
32,2020-12-16,13383363,1589857607,117.9,119.3,117.85,119.25,2.2,13255
33,2020-12-17,3001579,355533497,119.15,119.15,118.0,118.6,-0.65,3369
34,2020-12-18,2585473,305752089,118.55,118.7,118.0,118.2,-0.4,3012
35,2020-12-21,4402203,521717200,118.25,119.4,117.5,119.35,1.15,4369
36,2020-12-22,5849363,694797654,119.05,119.5,117.85,118.0,-1.35,4923
37,2020-12-23,4246980,500926481,117.85,118.3,117.5,118.15,0.15,3060
38,2020-12-24,2498996,296457152,118.4,118.85,118.2,118.8,0.65,2262
39,2020-12-25,2878357,343128324,119.1,119.6,118.6,118.95,0.15,3097
40,2020-12-28,3495974,418460860,119.05,120.0,119.05,120.0,1.05,4173
